Model,Seed,Temperature,Generated_Text
model_rnn_sgd.keras,محبت,0.7,محبت رہی تو تو اس کر ہے ہے و ہو سے بے تو
model_rnn_sgd.keras,محبت,1.0,محبت دجلہ بھی رکھا نگہ گنہ کیا یاں میں پہ فرقت سہی اس
model_rnn_sgd.keras,محبت,1.3,محبت بوٹے اس دانہ میزاب کی کی نہ اجازت پریشانیٔ گیا چوکنا ماورا
model_rnn_sgd.keras,دل,0.7,دل دونوں کی کے میں اس ہیں میاں نے بات سہی حرم ہیں
model_rnn_sgd.keras,دل,1.0,دل ہر نہیں جس کیا ولیؔ غم بعد آسیا تم ہو یہاں تھے
model_rnn_sgd.keras,دل,1.3,دل خوباں سراب میرا قسم بندۂ موجود آرزوؤں نے مرحلۂ دن اس خاتم
model_rnn_sgd.keras,شام,0.7,شام ہے نہ اس ہیں سے ہے پہ کا ہوا سے لہو کچھ
model_rnn_sgd.keras,شام,1.0,شام صیاد سر کا سخن تیرا نہ شام چھوڑیو سہتے ہیں اب ختن
model_rnn_sgd.keras,شام,1.3,شام آہ میں جا ذوق ایجاد طبع ایماں ہوا یار سکھیاں دیوانہ ربطی
model_rnn_sgd.keras,یاد,0.7,یاد کیا سے یہ نہیں کا کا کی سے اس گیا نہیں سے
model_rnn_sgd.keras,یاد,1.0,یاد پارا راہ سے طرف سے آوے ہے لوں کھول دھواں ہیں وہ
model_rnn_sgd.keras,یاد,1.3,یاد اجڑا آشنائی پا اے اضطراب بکھرنے اپنی رہے کسی بلندی شیوۂ لباسوں
model_rnn_sgd.keras,خوشی,0.7,خوشی نہ پر دل ہی کے نہیں ہے بھی بعد گے کے کر
model_rnn_sgd.keras,خوشی,1.0,خوشی کر دفعتاً ہی آپ ہمیں ہم بنا پر کھینچیے ادراک کے تھے
model_rnn_sgd.keras,خوشی,1.3,خوشی پر مشتری جا خال میں کماں دیکھ الفت منزل سادات سنج پائیں
model_rnn_rmsprop.keras,محبت,0.7,محبت میں بھی ہے کہ کچھ بھی نہ تھا مگر یہ وری تو
model_rnn_rmsprop.keras,محبت,1.0,محبت سے کاف و بیاض میں دیرینہ خوئی کی بوڑھے ہے نام میں
model_rnn_rmsprop.keras,محبت,1.3,محبت کے پہلے رنگ ہیں بغیر وہ دل تو کیا کا تمہارا ترستی
model_rnn_rmsprop.keras,دل,0.7,دل میں ہو تو وہ کہاں بھی کا کمی نہیں آتا ہے سزا
model_rnn_rmsprop.keras,دل,1.0,دل شہزادی کا تنے خدا کر گیا حاجات ہے حافظ ستاں بازو سے
model_rnn_rmsprop.keras,دل,1.3,دل سے ترک عدم کا صیاد جلوا دیوانگاں شمول ہے نقص رہو سہہ
model_rnn_rmsprop.keras,شام,0.7,شام کی نظر پر ہے جیسی غم نہیں ہے تم کو ہیں تو
model_rnn_rmsprop.keras,شام,1.0,شام عشق کو گرد نگین ہے دشمن کے ساتھ پلے ہیں وہ فرصت
model_rnn_rmsprop.keras,شام,1.3,شام ہونا و واں کھنکتے پروانوں راجدھانی کی یاران ورنہ حاصل تلتا ہے
model_rnn_rmsprop.keras,یاد,0.7,یاد میں وہ تو ہے دلاؤں کی طرح سے ہو کر کر گلشن
model_rnn_rmsprop.keras,یاد,1.0,یاد بندھن ہیں اب تک اگر بات ہیں اپنا مجھ جھاڑو ہی میں
model_rnn_rmsprop.keras,یاد,1.3,یاد چلنا ہو سہانی وہی سینگ معزولیٔ کافروں میں زخم نہ گیا قمیص
model_rnn_rmsprop.keras,خوشی,0.7,خوشی کی طرف نے آب کا ہے ہم بھی ہے یہ نظر ہو
model_rnn_rmsprop.keras,خوشی,1.0,خوشی ہے کہ اس سے کواکب نے اے راستی خموشیٔ اے سنئے کبھی
model_rnn_rmsprop.keras,خوشی,1.3,خوشی ہے وہ غربال زبانی پلکوں میں بھروسے فرمائیں میں بہتا ہے راستے
model_lstm_sgd.keras,محبت,0.7,محبت کو بھی کیا ہے کیا بھی اب میں ہے کی میں یوں
model_lstm_sgd.keras,محبت,1.0,محبت ناول والے پردۂ جرأتیں کرتا شد ہوئی لڑکا آہ وفا تعزیت ہرگز
model_lstm_sgd.keras,محبت,1.3,محبت جب کرے اشک بیہودہ توقیر صفحے نہ تذبذب غم جنوں ترک چاہے
model_lstm_sgd.keras,دل,0.7,دل سے میں ہیں انتظار کیے پہ نہیں ہے نے اس شوخئ کو
model_lstm_sgd.keras,دل,1.0,دل سے کوئی بھی وہ جال اجارہ ہے اشجار ترے ہے ترے ہے
model_lstm_sgd.keras,دل,1.3,دل ہجر وقت اٹھاؤں سوئیں بزم پوروں ہیں ازل بستر کل عرض ہے
model_lstm_sgd.keras,شام,0.7,شام دم ہوس تو ایسی ہے کے نظر ہر کے نگاہ کوئی کے
model_lstm_sgd.keras,شام,1.0,شام سے تو موجود کہ یوں ہے زینت کہ کاکل رہے میں اے
model_lstm_sgd.keras,شام,1.3,شام آبلۂ پاس ریلے یوسف اسے تو شرابوں زنجیر نیرنگی باف گی لکھنؤ
model_lstm_sgd.keras,یاد,0.7,یاد آزاد در میں نہ مرا نہیں کو ہے میں ایک میں تو
model_lstm_sgd.keras,یاد,1.0,یاد ڈھونڈھتا کھوج سرنگوں میں ٹھان نام تو تک اگر میں گھر خم
model_lstm_sgd.keras,یاد,1.3,یاد مشتہر سینہ داغؔ نہیں دیکھ لگاو یک بھی کہیں سونپیں جمال کو
model_lstm_sgd.keras,خوشی,0.7,خوشی میں ملنا رات نہیں ان شب میں نہ اک ہے ہی آوے
model_lstm_sgd.keras,خوشی,1.0,خوشی خاطر دل کیا کی سے کئے عمل بندگی کام ابلاغ بھی نظر
model_lstm_sgd.keras,خوشی,1.3,خوشی ہے حاجیو لذت صدا سوا تو کیا ثانی آسماں اداس فلک کے
model_lstm_rmsprop.keras,محبت,0.7,محبت کی فسانہ ہے یہ اس کا ساق تھا کہ تو تو نہیں
model_lstm_rmsprop.keras,محبت,1.0,محبت سے کسی سے دور تہاں کبھی تحفۂ سے نہیں در باراں بدن
model_lstm_rmsprop.keras,محبت,1.3,محبت گئے بے مریضوں اللہ کھٹکتے سامانیوں سے لوٹا جیسی زندگی میں بے
model_lstm_rmsprop.keras,دل,0.7,دل بھی شب و دل کے ساتھ ہے صہبا سے دل میں جو
model_lstm_rmsprop.keras,دل,1.0,دل ہم نے ہر گھر کو بھی شق ہوا باقی ہے گھبرانا مجھے
model_lstm_rmsprop.keras,دل,1.3,دل بھر کا اسلوب جلن دیکھ جانا جاتا ہے شفق، ساتھ ہوتی ہے
model_lstm_rmsprop.keras,شام,0.7,شام سے تو ایسا کہ ہو کر ہے ہم نے دل کی طرف
model_lstm_rmsprop.keras,شام,1.0,شام کو وہ میری باک ہی نہ ہوتا ہے فکر سے سمند سے
model_lstm_rmsprop.keras,شام,1.3,شام ندیم غافل محسنؔ کو پریشان بیڑیاں تھا آشفتگی کی نادانی درود گئیں
model_lstm_rmsprop.keras,یاد,0.7,یاد گیا ہے کہ یہ نہ پوچھ ہم پر تو سمجھانے بھی ہوتا
model_lstm_rmsprop.keras,یاد,1.0,یاد جگائیے کے مصور ہے سرشت گناہوں سا جاتی ہے سستا کو دل
model_lstm_rmsprop.keras,یاد,1.3,یاد کیا گیا بیانیاں لیوا کی سماع آوے ہیں جانانہ اعتقاد ہے شراب
model_lstm_rmsprop.keras,خوشی,0.7,خوشی میں کیا نہیں حقیقت میں یہ ہم سا تھک گئے ہم میں
model_lstm_rmsprop.keras,خوشی,1.0,خوشی والے جنوں ہم نے استخوان سمندر کے آندھیاں ہی باتیں تھا پھر
model_lstm_rmsprop.keras,خوشی,1.3,خوشی آستیں ویرانے کے ہوتی دیکھیے انجم باتیں ہوا کا سرکائی کر شغل
model_rnn_adam.keras,محبت,0.7,محبت کو رہتے ہیں ہم یار پر گلہ ہے کہ ابر نہیں تھا
model_rnn_adam.keras,محبت,1.0,محبت میں چاند کیجیے سہی گراں ایک دل سے کم نہ گیا ساتھ
model_rnn_adam.keras,محبت,1.3,محبت مری فریاد قریب پانی کی بتانا کرتے گی تلاش ہو یہ سی
model_rnn_adam.keras,دل,0.7,دل کے لوٹ میں تھی فرازؔ نظر کا آئینہ نہیں نم تو ہیں
model_rnn_adam.keras,دل,1.0,دل مے کن خم کا طلب تو ہو گئیں شہادت کو نہ کہو
model_rnn_adam.keras,دل,1.3,دل دلیلیں کا سکے وہ قتل ہجر میں چپ رہ لیتے دیتا تو
model_rnn_adam.keras,شام,0.7,شام کا ہے ہم نے کبھی اے غم شوق کی طرف شام سے
model_rnn_adam.keras,شام,1.0,شام میں نہیں ہوں اس لیے گر سر صبا جل رہا ہے قدم
model_rnn_adam.keras,شام,1.3,شام یار وجہ پچھتا الگ ہے کب سے حد قاتل سیں ٹوٹ دکھانے
model_rnn_adam.keras,یاد,0.7,یاد لیتا ہے کہ شوق کو نوش تم بھی کچھ وہ سی کھلا
model_rnn_adam.keras,یاد,1.0,یاد کی بندہ کھاتے ہیں کوئی نام ہنگام تھا فرازؔ گرم دوا دیوانہ
model_rnn_adam.keras,یاد,1.3,یاد چاہا کو شتابی ہی پشیماں آنا ہے ڈھلوانوں عذابوں جھکا جی میں
model_rnn_adam.keras,خوشی,0.7,خوشی سے میرے کہی ہم نے اکثر پھول سے نہیں دیکھا نہیں دیتے
model_rnn_adam.keras,خوشی,1.0,خوشی کی فرصت گھر کی کہا تھی بے صلا تو دوسرے رہے ہیں
model_rnn_adam.keras,خوشی,1.3,خوشی ستاتی ہوں فرمائیے زنداں ‌ہاۓ نادان فضائیں رہی یہ لا سنبھالوں گزرے
model_lstm_adam.keras,محبت,0.7,محبت میں بوسہ تو تو وہ دل بھاری ہے کہ اسے ملے ہوا
model_lstm_adam.keras,محبت,1.0,محبت دل میں کتنی درد کاری آتی ہے گریباں کی آتے ہیں خزاں
model_lstm_adam.keras,محبت,1.3,محبت اول نامور کا بھی چٹکنا بننے کا دوا کیا جاوے کرو طوفان
model_lstm_adam.keras,دل,0.7,دل سے کچھ پڑی ہے وہ چمن تو ہے تو لباس کر ہوتا
model_lstm_adam.keras,دل,1.0,دل گزر پہ نہ ایسی وجود کے بھی تو لگتا ہے کہاں کچھ
model_lstm_adam.keras,دل,1.3,دل دکھتا ہے اس نے گزر پر ہے مٹی وفا لیجے کر بیٹھے
model_lstm_adam.keras,شام,0.7,شام کا رات ہی نہ ڈھونڈے کیا تو صحرا گیا ہے ہم پر
model_lstm_adam.keras,شام,1.0,شام سے سارا فصل عشق میں معاملہ تھی کیا رہ والا حاصل ہے
model_lstm_adam.keras,شام,1.3,شام سے شاعری ہے چھپا کہ بول آتی میرا سلام رکھتے ہیں مری
model_lstm_adam.keras,یاد,0.7,یاد رہے ہوئے ہم میں میرے خاک میں دیکھ گئی ہیں یہ ہونٹ
model_lstm_adam.keras,یاد,1.0,یاد ہوں تو تو ہو کوئی منزل تو کیونکر کرو تم نہیں رہا
model_lstm_adam.keras,یاد,1.3,یاد کر تلافی صد جانتے سینے کی آنچ سے ہوتا ہے بال مرحلۂ
model_lstm_adam.keras,خوشی,0.7,خوشی کے بعد تو ہو اپنا ہے کسی نے سے نیا بھی کیا
model_lstm_adam.keras,خوشی,1.0,خوشی کے بستی میں جور کدہ جا گئے تو کھائی ہے کہیں سے
model_lstm_adam.keras,خوشی,1.3,خوشی خورشید آسائش سے بیچ ہوں نگار پڑیں کم رکھتا نہیں ہوا لیتا
model_transformer_adam.keras,محبت,0.7,محبت کی ہیں کیا مرے کبھی سے ہے گیا نہ ہے بھی کے
model_transformer_adam.keras,محبت,1.0,محبت کو و بھی گا آتے تو آنکھوں آئے کہیں آفتاب تو بھلا
model_transformer_adam.keras,محبت,1.3,محبت اوندھے گردیدن جوانی ویران کے آتے پئے ہم یہ نقاب کوئی چیز
model_transformer_adam.keras,دل,0.7,دل آپ نہیں آئے میں کو تو کا سے ہے کی اک میں
model_transformer_adam.keras,دل,1.0,دل راستے نہیں ہے ہیں میں ہوں تو جہاں دیکھا ہے سلیقے آفتاب
model_transformer_adam.keras,دل,1.3,دل جلوت شہر پردوں خوش سا چکی پھیلی مہلت مجھے روح خاموشی گئیں
model_transformer_adam.keras,شام,0.7,شام کو پر کی محبت ہے سے نہیں ہے سے آدمی ہے تو
model_transformer_adam.keras,شام,1.0,شام شوق کی میں معمہ اپنا پرستش کاسی وہ سے امیروں ہے آتے
model_transformer_adam.keras,شام,1.3,شام آنکھوں در وفاداری دلبروں جائے بدن دھواں جاتا سے الجھا اشارا دعا
model_transformer_adam.keras,یاد,0.7,یاد ہوا بے مجھے بیداد کے سے ہے ہے ہے اس کی جائے
model_transformer_adam.keras,یاد,1.0,یاد نہ گئی اس خود نہیں بدنام ہے جو کسی کس بھی کی
model_transformer_adam.keras,یاد,1.3,یاد تتار نقاب کہنے نہاں ہیں گے پوچھ اور کے نہیں دیکھنا خدائی
model_transformer_adam.keras,خوشی,0.7,خوشی کی یہ سے ہے دل معلوم تری بے نہیں تیرا نہیں ہے
model_transformer_adam.keras,خوشی,1.0,خوشی کر ترے تجھ جانتے مدعا ہے غم ہیں گا کی ہم گے
model_transformer_adam.keras,خوشی,1.3,خوشی بجاں زار سناں سن جستجو کر انبوہ کھلا بنا فریاد دیکھے لاکھ
model_transformer_rmsprop.keras,محبت,0.7,محبت میں بے ساتھ ہے مجھ سے نہیں جائے ہے کہ اسی کے
model_transformer_rmsprop.keras,محبت,1.0,محبت مقدمے کا رہ رہا ہے نجف دل کو یہ کوئی درندوں کے
model_transformer_rmsprop.keras,محبت,1.3,محبت ہو ڈوبنے کو دعا ہے باشندگاں دل جاوداں گار دیا آ تھے
model_transformer_rmsprop.keras,دل,0.7,دل کو تو اپنی لیے تو لوگ ہوگا بھی میرا دل میں خواب
model_transformer_rmsprop.keras,دل,1.0,دل تک تنے میں ہنگاموں کے چارہ شوق لیے سے ہیں ٹہلنا ہے
model_transformer_rmsprop.keras,دل,1.3,دل سینہ بہائیں فرماؤ نہیں کہہ ابلیس ٹھہرا امتداد سے تھا جھکانے کی
model_transformer_rmsprop.keras,شام,0.7,شام کے بات نہ ہی ہے ہر طرح ہے تو نہیں تھا ہوگا
model_transformer_rmsprop.keras,شام,1.0,شام تری زلف و ہجر میں ہم سے پہلے سے بھی تھا ہم
